Code,Name
111,곡물 및 기타 식량작물 재배업
112,"채소, 화훼작물 및 종묘 재배업"
113,"과실, 음료용 및 향신용 작물 재배업"
114,기타 작물 재배업
115,시설작물 재배업
121,소 사육업
122,양돈업
123,가금류 및 조류 사육업
129,기타 축산업
130,작물재배 및 축산 복합농업
141,작물재배 관련 서비스업
142,축산 관련 서비스업
150,수렵 및 관련 서비스업
201,영림업
202,벌목업
203,임산물 채취업
204,임업 관련 서비스업
311,해수면 어업
312,내수면 어업
321,양식 어업
322,어업 관련 서비스업
510,석탄 광업
520,원유 및 천연가스 채굴업
610,철 광업
620,비철금속 광업
711,석회석 및 점토 광업
712,"석재, 쇄석 및 모래, 자갈 채취업"
721,화학용 및 비료 원료용 광물 광업
722,천일염 생산 및 암염 채취업
729,그 외 기타 비금속광물 광업
800,광업 지원 서비스업
1011,도축업
1012,육류 가공 및 저장 처리업
1021,수산동물 가공 및 저장 처리업
1022,수산식물 가공 및 저장 처리업
1030,"과실, 채소 가공 및 저장 처리업"
1040,동물성 및 식물성 유지 제조업
1050,낙농제품 및 식용 빙과류 제조업
1061,곡물 가공품 제조업
1062,전분제품 및 당류 제조업
1071,"떡, 빵 및 과자류 제조업"
1072,설탕 제조업
1073,"면류, 마카로니 및 유사 식품 제조업"
1074,조미료 및 식품 첨가물 제조업
1075,도시락 및 식사용 조리식품 제조업
1079,기타 식료품 제조업
1080,동물용 사료 및 조제식품 제조업
1111,발효주 제조업
1112,증류주 및 합성주 제조업
1120,비알코올 음료 및 얼음 제조업
1200,담배 제조업
1310,방적 및 가공사 제조업
1321,직물 직조업
1322,직물제품 제조업
1330,편조 원단 제조업
1340,"섬유제품 염색, 정리 및 마무리 가공업"
1391,"카펫, 마루덮개 및 유사 제품 제조업"
1392,"끈, 로프, 망 및 끈 가공품 제조업"
1399,그 외 기타 섬유제품 제조업
1411,겉옷 제조업
1412,속옷 및 잠옷 제조업
1413,한복 제조업
1419,기타 봉제의복 제조업
1420,모피제품 제조업
1430,편조의복 제조업
1441,편조 의복 액세서리 제조업
1449,기타 의복 액세서리 제조업
1511,모피 및 가죽 제조업
1512,"핸드백, 가방 및 기타 보호용 케이스 제조업"
1519,기타 가죽제품 제조업
1521,신발 제조업
1522,신발 부분품 제조업
1610,제재 및 목재 가공업
1621,"박판, 합판 및 강화 목제품 제조업"
1622,건축용 나무제품 제조업
1623,"목재 상자, 드럼 및 적재판 제조업"
1629,기타 나무제품 제조업
1630,코르크 및 조물 제품 제조업
1711,펄프 제조업
1712,종이 및 판지 제조업
1721,골판지 및 골판지 가공제품 제조업
1722,"종이 포대, 판지 상자 및 종이 용기 제조업"
1790,기타 종이 및 판지 제품 제조업
1811,인쇄업
1812,인쇄관련 산업
1820,기록매체 복제업
1910,코크스 및 연탄 제조업
1921,원유 정제처리업
1922,석유 정제물 재처리업
2011,기초 유기화학 물질 제조업
2012,기초 무기화학 물질 제조업
2013,"무기 안료, 염료, 유연제 및 기타 착색제 제조업"
2020,합성고무 및 플라스틱 물질 제조업
2031,비료 및 질소 화합물 제조업
2032,살균ㆍ살충제 및 농약 제조업
2041,"잉크, 페인트, 코팅제 및 유사제품 제조업"
2042,"세제, 화장품 및 광택제 제조업"
2049,그 외 기타 화학제품 제조업
2050,화학섬유 제조업
2110,기초 의약 물질 및 생물학적 제제 제조업
2121,완제 의약품 제조업
2122,한의약품 제조업
2123,동물용 의약품 제조업
2130,의료용품 및 기타 의약 관련제품 제조업
2211,고무 타이어 및 튜브 생산업
2219,기타 고무제품 제조업
2221,1차 플라스틱제품 제조업
2222,건축용 플라스틱제품 제조업
2223,포장용 플라스틱제품 제조업
2224,기계장비 조립용 플라스틱제품 제조업
2225,플라스틱 발포 성형제품 제조업
2229,기타 플라스틱 제품 제조업
2311,판유리 및 판유리 가공품 제조업
2312,산업용 유리 제조업
2319,기타 유리제품 제조업
2321,내화 요업제품 제조업
2322,비내화 일반 도자기 제조업
2323,건축용 비내화 요업제품 제조업
2331,"시멘트, 석회 및 플라스터 제조업"
2332,"콘크리트, 레미콘 및 기타 시멘트, 플라스터 제품 제조업"
2391,석제품 제조업
2399,그 외 기타 비금속 광물제품 제조업
2411,"제철, 제강 및 합금철 제조업"
2412,"철강 압연, 압출 및 연신제품 제조업"
2413,철강관 제조업
2419,기타 1차 철강 제조업
2421,"비철금속 제련, 정련 및 합금 제조업"
2422,"비철금속 압연, 압출 및 연신제품 제조업"
2429,기타 1차 비철금속 제조업
2431,철강 주조업
2432,비철금속 주조업
2511,구조용 금속제품 제조업
2512,"산업용 난방 보일러, 금속탱크 및 유사 용기 제조업"
2513,핵반응기 및 증기보일러 제조업
2520,무기 및 총포탄 제조업
2591,"금속 단조, 압형 및 분말 야금제품 제조업"
2592,"금속 열처리, 도금 및 기타 금속 가공업"
2593,"날붙이, 수공구 및 일반 철물 제조업"
2594,"금속 파스너, 스프링 및 금속선 가공제품 제조업"
2599,그 외 기타 금속 가공제품 제조업
2611,전자집적회로 제조업
2612,"다이오드, 트랜지스터 및 유사 반도체 소자 제조업"
2621,표시장치 제조업
2622,인쇄회로기판 및 전자부품 실장기판 제조업
2629,기타 전자 부품 제조업
2631,컴퓨터 제조업
2632,기억 장치 및 주변 기기 제조업
2641,유선 통신장비 제조업
2642,방송 및 무선 통신장비 제조업
2651,"텔레비전, 비디오 및 기타 영상 기기 제조업"
2652,"오디오, 스피커 및 기타 음향 기기 제조업"
2660,마그네틱 및 광학 매체 제조업
2711,방사선 장치 및 전기식 진단 기기 제조업
2719,기타 의료용 기기 제조업
2721,"측정, 시험, 항해, 제어 및 기타 정밀 기기 제조업"
2730,사진장비 및 광학기기 제조업
2740,시계 및 시계 부품 제조업
2811,"전동기, 발전기 및 전기 변환장치 제조업"
2812,전기 공급 및 제어장치 제조업
2820,일차전지 및 축전지 제조업
2830,절연선 및 케이블 제조업
2841,전구 및 램프 제조업
2842,조명장치 제조업
2851,가정용 전기 기기 제조업
